id,corp,stock_code,sector,main_product,listing_date,settlement_month,representative_name,homepage,region,rank,predicted_rank
127,태양금속공업,4100,"자동차 신품 부품 제조업","자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조",1976-05-25,12월,"한우삼. 한하워드성(각자 대표이사)",http://www.taeyangmetal.com,경기도,JB,NULL
128,태영건설,9410,"토목 건설업","종합건설업(토목공사,도로공사,건축공사,관급공사,환경공사,상하수도공사,하수종말처리공사)/부동산 임대,매매",1989-11-13,12월,이재규,http://www.taeyoung.com,경기도,A-,NULL
129,팬오션,28670,"해상 운송업","해상화물운송(외항,운수보관)",2007-09-21,12월,"김홍국, 안중호(각자 대표이사)",http://www.panocean.com,서울특별시,A,NULL
130,페이퍼코리아,1020,"펄프, 종이 및 판지 제조업","제지(신문용지,중질지),합판 제조,건설,석유류 판매",1976-06-26,12월,권육상,http://www.papercorea.co.kr,전라북도,JB,NULL
131,포스코인터내셔널,47050,"상품 중개업","무역(철강,화학,자동차부품),수출주선,대행,알선,가공원단,폴리우레탄,자동차시트 제조",2001-03-23,12월,"대표이사 부회장 정탁",http://www.poscointl.com,서울특별시,AA-,NULL
132,포스코퓨처엠,3670,"일차전지 및 축전지 제조업","내화물, 생석회, 음극재 및 양극재",2019-05-29,12월,김준형,http://www.poscofuturem.com,경상북도,AA-,NULL
133,풀무원,17810,"기타 식품 제조업","두부류,생면류,나물류,냉동류,조미류,김치류,묵류,녹즙,과채음료,건강보조식품 판매,제조,생식품 수출",1995-10-05,12월,이효율,http://www.pulmuone.co.kr,충청북도,BBB,NULL
134,풍산,103140,"1차 비철금속 제조업",NULL,2008-07-30,12월,"류진, 박우동",http://www.poongsan.co.kr,경기도,A+,NULL
135,하이트진로,80,"알코올음료 제조업",소주,2009-10-19,12월,김인규,http://www.hitejinro.com,서울특별시,A+,NULL
136,하이트진로홀딩스,140,"기타 금융업",지주회사,1973-09-19,12월,김인규,http://www.hitejinroholdings.com,서울특별시,A,NULL
137,한국가스공사,36460,"연료용 가스 제조 및 배관공급업","액화천연가스 공급,제조,도매,개발",1999-12-15,12월,최연혜,http://www.kogas.or.kr,대구광역시,AAA,NULL
138,한국전력공사,15760,전기업,"전력자원개발,발전,송전,전력용기자재확보",1989-08-10,12월,이정복,http://www.kepco.co.kr,전라남도,AAA,NULL
139,한국콜마,161890,"기타 화학제품 제조업","화장품, 의약품",2012-10-19,12월,최현규,http://https://www.kolmar.co.kr/,세종특별자치시,A,NULL
140,한국타이어앤테크놀로지,161390,"고무제품 제조업","타이어 제조",2012-10-04,12월,이수일,http://www.hankooktire.com,경기도,AA,NULL
141,한독,2390,"의약품 제조업","의약품(소화제,크라포란,라식스)제조,도매,부동산 임대",1976-06-30,12월,"김영진, 백진기",http://www.handok.co.kr,서울특별시,BBB,NULL
142,한미약품,128940,"의약품 제조업",의약품,2010-07-30,12월,박재현,NULL,경기도,A,NULL
143,한세실업,105630,"봉제의복 제조업","의류 완제품",2009-03-20,12월,"김익환, 김경",http://www.hansae.com,서울특별시,BBB,NULL
144,한솔케미칼,14680,"기초 화학물질 제조업","과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",1989-05-20,12월,박원환,http://www.hansolchemical.com,서울특별시,A+,NULL
145,한솔테크닉스,4710,"전자부품 제조업","백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조",1988-07-06,12월,유경준,http://www.hansoltechnics.com,서울특별시,BBB,NULL
146,한솔홈데코,25750,"제재 및 목재 가공업","PB,MDF,바닥재,강화,재생목재,LPM,제재목 제조,도소매,무역/임업,벌목관련 사업",2003-11-04,12월,김경록,http://www.hansolhomedeco.co.kr,서울특별시,BBB,NULL
147,한신공영,4960,"건물 건설업","토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",1976-07-07,12월,"최문규,선홍규(각자 대표이사)",http://www.hanshinc.com,경기도,BBB,NULL
148,한온시스템,18880,"일반 목적용 기계 제조업","자동차용부품(라디에이터,히터,에어콘,압축기,콘덴서,컴퓨레사) 제조,도매",1996-07-31,12월,"각자대표집행임원 2인 - 성민석(대표집행임원) - 너달 쿠추카야(대표집행임원)",http://www.hanonsystems.com,대전광역시,AA-,NULL
149,한일시멘트,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈",2018-08-06,12월,전근식,http://www.hanilcement.com,서울특별시,A+,NULL
150,한진,2320,"도로 화물 운송업","포장화물,택배산업,항만하역,고속버스사업,운수보관",1974-08-12,12월,노삼석,http://www.hanjin.com,서울특별시,BBB,NULL
151,한창,5110,"기계장비 및 관련 물품 도매업","소화기, 통신장비 유통",1976-06-01,12월,"최 승 환",http://www.hanchang.co.kr,부산광역시,JB,NULL
152,한화,880,"기타 화학제품 제조업","화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",1976-06-24,12월,"김동관, 김승모, 양기원",http://www.hanwhacorp.co.kr,서울특별시,A+,NULL
153,한화시스템,272210,"전자부품 제조업","정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조",2019-11-13,12월,어성철,http://hanwhasystems.com,경상북도,AA-,NULL
154,한화에어로스페이스,12450,"항공기,우주선 및 부품 제조업","항공기엔진,특수방산장비 제조/정비사업",1987-05-27,12월,"손재일, 김동관",http://www.hanwhaaerospace.co.kr/,경상남도,AA-,NULL
155,해태제과식품,101530,"기타 식품 제조업","홈런볼, 오예스, 맛동산, 부라보콘 등",2016-05-11,12월,"신정훈, 이상진(각자대표)",http://www.ht.co.kr,충청남도,A,NULL
156,핸즈코퍼레이션,143210,"자동차 신품 부품 제조업","자동차 알루미늄 휠",2016-12-02,12월,승현창,http://www.handscorp.co.kr,인천광역시,JB,NULL
157,현대건설,720,"토목 건설업","공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",1984-12-22,12월,윤영준,http://www.hdec.kr,서울특별시,AA-,NULL
158,현대글로비스,86280,"기타 운송관련 서비스업","화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대",2005-12-26,12월,이규복,http://www.glovis.net,서울특별시,AA,NULL
159,현대로템,64350,"철도장비 제조업","철도차량, 특수중기, 산업기계",2013-10-30,12월,이용배,http://www.hyundai-rotem.co.kr,경상남도,A-,NULL
160,현대모비스,12330,"자동차 신품 부품 제조업","자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",1989-09-05,12월,"정의선, 조성환",http://www.mobis.co.kr,서울특별시,AA+,NULL
161,현대백화점,69960,"종합 소매업",백화점,2002-11-25,12월,"정지선, 장호진, 김형종 (각자대표)",http://home.e-hyundai.com,서울특별시,AA+,NULL
162,현대비앤지스틸,4560,"1차 철강 제조업","스텐레스냉연강판,특수강 제조",1987-03-24,12월,"대표이사 사장 정일선,대표이사 부사장 이선우(각자 대표이사)",http://www.hyundai-bngsteel.com,경상남도,A,NULL
163,현대엘리베이터,17800,"일반 목적용 기계 제조업","엘리베이터,에스컬레이터,공항,공정,크린룸,병원 물류시스템,수,배송센터,고속소팅시스템,주차설비 제조,판매,보수",1996-07-03,12월,조재천,http://www.hyundaielevator.co.kr,충청북도,A,NULL
164,현대오토에버,307950,"소프트웨어 개발 및 공급업","전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",2019-03-28,12월,서정식,http://www.hyundai-autoever.com,서울특별시,AA-,NULL
165,현대위아,11210,"자동차 신품 부품 제조업","자동차부품, 공작기계 등",2011-02-21,12월,정재욱,http://www.hyundai-wia.com,경상남도,AA-,NULL
166,현대자동차,5380,"자동차용 엔진 및 자동차 제조업","자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",1974-06-28,12월,"정의선, 장재훈, 이동석(각자 대표이사)",http://www.hyundai.com,서울특별시,AA+,NULL
167,현대제철,4020,"1차 철강 제조업","H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",1987-05-23,12월,안동일,http://www.hyundai-steel.com,인천광역시,AA,NULL
168,현대코퍼레이션,11760,"상품 종합 도매업","자동차,철강,기계,선박,플랜트,컴퓨터,전자제품 수출,수출입대행/자원(탄광,유전) 개발",1977-12-01,12월,"정몽혁, 김원갑, 장안석(각자대표이사)",http://www.hyundaicorp.co.kr,서울특별시,A-,NULL
169,호텔신라,8770,"기타 상품 전문 소매업","면세판매,관광숙박,외식사업,예식업",1991-03-12,12월,이부진,http://www.hotelshilla.net,서울특별시,AA-,NULL
170,화신,10690,"자동차 신품 부품 제조업","자동차엔진부품(ARM류,C/MBR류),자동차부품 제조",1994-01-14,12월,"정서진, 장의호",http://www.hwashin.co.kr,경상북도,BBB,NULL
171,효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,2018-07-13,12월,"양동기 / 요코타 타케시",http://www.hyosungheavyindustries.com,서울특별시,A,NULL
172,효성첨단소재,298050,"화학섬유 제조업",PET타이어코드,2018-07-13,12월,조용수,http://www.hyosungadvancedmaterials.com,서울특별시,A,NULL
173,AK홀딩스,6840,"기타 금융업",지주사업,1999-08-11,12월,"채형석, 백차현(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,NULL,BBB
174,BGF,27410,"기타 금융업",지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,NULL,AA-
175,BGF리테일,282330,"종합 소매업","체인화 편의점",2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시,NULL,AA-
176,BYC,1460,"봉제의복 제조업","메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,"김 대 환",http://home.byc.co.kr,서울특별시,NULL,A
177,"CJ CGV",79160,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,NULL,BBB
178,CS홀딩스,590,"기타 금융업","브랜드 수익, 자회사 배당",1975-12-22,12월,장원영,http://www.chosunwelding.com,경상북도,NULL,JB
179,DB,12030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시,NULL,BBB
180,DB하이텍,990,"반도체 제조업","반도체 제조",1975-12-12,12월,조기석,http://www.dbhitek.co.kr,경기도,NULL,AA-
181,DRB동일,4840,"고무제품 제조업","고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,류영식,http://www.drbworld.com,부산광역시,NULL,BBB
182,DSR,155660,"1차 비철금속 제조업",합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시,NULL,JB
183,F&F,383220,"봉제의복 제조업","MLB, MLB KIDS, DISCOVERY 등 패션의류제품",2021-05-21,12월,김창수,http://www.fnf.co.kr,서울특별시,NULL,AA-
184,"F&F 홀딩스",7700,"기타 금융업","스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnfholdings.com,서울특별시,NULL,AA-
185,GKL,114090,"유원지 및 기타 오락관련 서비스업",카지노,2009-11-19,12월,김영산,http://www.grandkorea.com,서울특별시,NULL,JB
186,GS글로벌,1250,"상품 종합 도매업","수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,이영환,http://www.gsgcorp.com,서울특별시,NULL,A-
187,HDC랩스,39570,"전기 및 통신 공사업","기계설비공사, 스마트홈, 지능형 빌딩, SOC, 인테리어, 조경, 시설관리",2015-09-24,12월,김성은,http://www.hdc-labs.com/,서울특별시,NULL,JB
188,HD한국조선해양,9540,"기타 금융업","선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",1999-08-24,12월,"가삼현, 정기선 (각자 대표이사)",http://www.ksoe.co.kr,경기도,NULL,AA
189,HD현대에너지솔루션,322000,"반도체 제조업","태양광 셀·모듈, PV시스템, ESS",2019-11-19,12월,박종환,http://www.hd-hyundaies.co.kr/,경기도,NULL,A-
190,HJ중공업,97230,"토목 건설업","선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사",2007-08-31,12월,"홍문기, 유상철",http://www.hjsc.co.kr,부산광역시,NULL,BBB
191,"HL D&I",14790,"토목 건설업","토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",1994-08-12,12월,홍석화,http://www.halla.co.kr,서울특별시,NULL,A-
192,HLB글로벌,3580,"기타 비금속광물 광업","모래 및 자갈 채취업,콤부차,그린월,화장품,신약개발 등",1990-03-23,12월,김광재,http://www.hlbglobal.co.kr,강원특별자치도,NULL,JB
193,HMM,11200,"해상 운송업","정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,김경배,http://www.hmm21.com,서울특별시,NULL,AA+
194,HSD엔진,82740,"일반 목적용 기계 제조업","대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,http://www.hsdengine.com,경상남도,NULL,BBB
195,JW생명과학,234080,"의약품 제조업","기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27,12월,차성남,http://www.jw-lifescience.co.kr,충청남도,NULL,JB
196,JW중외제약,1060,"의약품 제조업","수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,"대표이사 신영섭",http://www.jw-pharma.co.kr,경기도,NULL,BBB
197,KC그린홀딩스,9440,"기타 금융업","환경방지오염시설(전기집진기,배연탈황설비,여과집진기,세정식집진기),제어장치 제조,설치",1994-11-05,12월,이태영,http://www.kcgreenholdings.com,서울특별시,NULL,BBB
198,KC코트렐,119650,"일반 목적용 기계 제조업","전기집진기 등",2010-01-29,12월,김현수,http://www.kc-cottrell.com/,서울특별시,NULL,JB
199,KEC,92220,"반도체 제조업","반도체 제조",2006-10-16,12월,"이종홍, 이태선, 강래훈",http://www.kec.co.kr,서울특별시,NULL,JB
200,KG모빌리티,3620,"자동차용 엔진 및 자동차 제조업","자동차,자동차부품,차륜,정비 제조/도소매",1975-05-29,12월,"곽재선, 정용원",http://www.kg-mobility.com,경기도,NULL,A+
201,KG스틸,16380,"1차 철강 제조업","철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",1986-02-03,12월,박성희,http://kg-steel.co.kr,서울특별시,NULL,A+
202,KG케미칼,1390,"기초 화학물질 제조업","콘크리트혼화제, 비료, 친환경농자재, 수처리제",1989-08-25,12월,"곽정현, 김재익",http://www.kgchem.co.kr,울산광역시,NULL,AA-
203,"KH 필룩스",33180,"전자부품 제조업","전자부품(페라이트코아,트랜스포머,데코램프) 제조/온라인정보 제공/부동산 임대",2001-12-26,12월,"한우근, 배보성(각자대표)",http://www.feelux.com,경기도,NULL,JB
204,KISCO홀딩스,1940,"1차 철강 제조업",지주사업,1989-11-13,12월,"장세홍, 이병제 (각자대표)",http://www.kiscoholdings.co.kr,경상남도,NULL,AA-
205,KPX케미칼,25000,"기초 화학물질 제조업","PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",1994-12-27,12월,"양준영, 최재호, 이찬수(각자대표이사)",http://www.kpxchemical.com,서울특별시,NULL,A+
206,KPX홀딩스,92230,"기초 화학물질 제조업",지주회사,2006-10-12,12월,양준영,http://www.kpxholdings.com,서울특별시,NULL,A+
207,KR모터스,40,"그외 기타 운송장비 제조업","이륜차(오토바이) 제조,도매",1976-05-25,12월,고재철,http://www.krmotors.com,경상남도,NULL,JB
208,KSS해운,44450,"해상 운송업","특수화물해상운송(액화가스,LPG,암모니아,VCM,석유화학제품 등), 선박대여",2007-10-26,12월,박찬도,http://www.kssline.com,서울특별시,NULL,BBB
209,KTcs,58850,"기타 정보 서비스업","전화번호검색 데이타제공/콜센터 운영",2010-09-16,12월,박경원,http://www.ktcs.co.kr,대전광역시,NULL,JB
210,LG,3550,"기타 금융업",지주회사,1970-02-13,12월,"구광모, 권봉석",http://www.lg.co.kr,서울특별시,NULL,AA
211,LG생활건강,51900,"기타 화학제품 제조업","화장품,생활용품 제조,도매",2001-04-25,12월,이정애,http://www.lghnh.com,서울특별시,NULL,AA+
212,LS전선아시아,229640,"기타 금융업",NULL,2016-09-22,12월,이상호,http://www.lscnsasia.co.kr,서울특별시,NULL,JB
213,LX세미콘,108320,"반도체 제조업","Display Driver IC",2022-11-03,12월,손보익,http://www.lxsemicon.com,대전광역시,NULL,AA-
214,LX홀딩스,383800,"기타 금융업",지주회사,2021-05-27,12월,"구본준, 노진서",http://www.lxholdings.co.kr,서울특별시,NULL,A
215,MH에탄올,23150,"알코올음료 제조업","주정,탄산가스 제조",1996-12-24,12월,최동호,http://www.mhethanol.com,경상남도,NULL,JB
216,NAVER,35420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","포털 서비스 및 온라인 광고",2008-11-28,12월,최수연,http://www.navercorp.com,경기도,NULL,AA+
217,NICE,34310,"회사 본부 및 경영 컨설팅 서비스업","기업신용분석,유가증권등급평정,기업정보,긍융정보,경제정보,소비자신용정보 제공,시장조사,사회여론조사,점외 CD/ATM사업",2004-02-04,12월,이현석,http://www.nice.co.kr,서울특별시,NULL,A
218,OCI홀딩스,10060,"기초 화학물질 제조업","타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",1985-07-09,12월,"이우현, 서진석(2인, 각자 대표이사)",http://www.oci.co.kr,서울특별시,NULL,A
219,POSCO홀딩스,5490,"1차 철강 제조업","열연코일,냉연강판,후판,선재,스테인리스 제조",1988-06-10,12월,"대표이사 회장 최정우, 대표이사 사장 정기섭",http://www.posco-inc.com,경상북도,NULL,AA+
220,S-Oil,10950,"석유 정제품 제조업","석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",1987-05-27,12월,"Anwar A. Al-Hejazi (안와르 에이 알-히즈아지)",http://www.s-oil.com,서울특별시,NULL,AA
221,SG글로벌,1380,"자동차 신품 부품 제조업","자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매",1976-06-29,12월,이의범,http://www.sgglobal.co.kr,충청남도,NULL,JB
222,SG세계물산,4060,"상품 종합 도매업","피복류,봉제품,P.E제품 수출입,도매,제조/조경사업",1976-04-19,12월,이의범,http://www.sgsegye.com,서울특별시,NULL,JB
223,SH에너지화학,2360,"기초 화학물질 제조업","합성수지(PS/EPS,ABS수지) 제조",1985-12-23,12월,정케빈규봉,http://www.sh-enerchem.com,전라북도,NULL,JB
224,SIMPAC,9160,"1차 철강 제조업","프레스, 합금철",1989-07-29,12월,최진식,http://www.simpac.co.kr,인천광역시,NULL,A
225,SK바이오사이언스,302440,"기초 의약물질 및 생물학적 제제 제조업","백신 제품 및 제제",2021-03-18,12월,안재용,http://www.skbioscience.com,경기도,NULL,A+
226,SK아이이테크놀로지,361610,"일차전지 및 축전지 제조업","2차전지용 습식 분리막 및 폴더블 커버 윈도우",2021-05-11,12월,김철중,http://www.skietechnology.com/,서울특별시,NULL,A+
227,SK오션플랜트,100090,"1차 철강 제조업","해상풍력 하부구조물",2023-04-19,12월,이승철,http://www.skoceanplant.com/,경상남도,NULL,A+
228,SNT다이내믹스,3570,"자동차 신품 부품 제조업","자동차부품(동력전달장치 등),공작기계(CNC선반 등),사출성형기 제조",1976-07-08,12월,박재석,http://www.hisntd.com,경상남도,NULL,A
229,SNT모티브,64960,"자동차 신품 부품 제조업","자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매",2002-03-11,12월,권형순,http://www.sntdaewoo.com,부산광역시,NULL,AA-
230,SNT에너지,100840,"일반 목적용 기계 제조업","공냉식 열교환장치,폐열회수장치 제조",2008-02-22,12월,김형섭,http://www.hisnt.com,경상남도,NULL,JB
231,SNT홀딩스,36530,"기타 금융업","지배,경영지도,정리,육성",2002-10-22,12월,김도환,http://www.hisntholdings.com,서울특별시,NULL,AA-
232,SPC삼립,5610,"기타 식품 제조업","빵,아이스크림,과자,케익,유산균음료,인스턴트식품,병조림,면류,식용유 제조,판매",1975-05-02,12월,황종현,http://www.spcsamlip.co.kr,경기도,NULL,BBB
233,STX,11810,"상품 종합 도매업","에너지 원료(석탄,석유),산업기자재(기계부품) 도매",1990-09-12,12월,박상준,http://www.stx.co.kr,경상남도,NULL,JB
234,STX엔진,77970,"일반 목적용 기계 제조업","엔진,터빈,내연기관 제조,도매",2004-05-10,12월,이상수,http://www.stxengine.co.kr,경상남도,NULL,BBB
235,STX중공업,71970,"일반 목적용 기계 제조업","조선기자재, 기계부품",2009-05-15,12월,최순필,http://www.stxhi.co.kr,경상남도,NULL,JB
236,SUN&L,2820,"나무제품 제조업","합판,가정용가구(선우드),MDF,제재목,하드보드 제조/부동산 임대",1976-05-22,12월,서성교,http://sunandl.com/,인천광역시,NULL,JB
237,WISCOM,24070,"플라스틱제품 제조업","플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공",1996-11-22,12월,"구조웅, 구영일",http://www.wiscom.co.kr,경기도,NULL,JB
238,"YG PLUS",37270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작",2003-08-01,12월,최성준,http://www.ygplus.com,서울특별시,NULL,JB
239,강남제비스코,860,"기타 화학제품 제조업","도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",1975-11-12,12월,"황익준,김재현(각자대표이사)",http://www.jevisco.com,부산광역시,NULL,A+
240,강원랜드,35250,"유원지 및 기타 오락관련 서비스업","카지노,관광호텔,골프장,스키장,체육시설 운영",2003-09-04,12월,"Lee, Sam-Geol",http://kangwonland.high1.com,강원도,NULL,AA-
241,경농,2100,"비료, 농약 및 살균, 살충제 제조업","완제농약(잡초약,살충제,살균제) 제조",1977-06-30,12월,"이병만,이용진",http://www.knco.co.kr,서울특별시,NULL,BBB
242,경동나비엔,9450,"가정용 기기 제조업","가정용기름보일러,입형,횡형 온수보일러,가스보일러,버너,흡수식 냉온수기,전기보일러,진공온수보일러,태양열보일러 제조,판매",1993-08-31,12월,"손연호, 김종욱 (각자대표)",http://www.kdnavien.co.kr,경기도,NULL,A
243,경동도시가스,267290,"연료용 가스 제조 및 배관공급업",도시가스,2017-05-12,12월,"송재호, 나윤호",http://www.kdgas.co.kr,울산광역시,NULL,A+
244,경동인베스트,12320,"기타 금융업",지주회사,1997-03-07,12월,정승진,http://www.kdinvest.co.kr,경기도,NULL,A
245,경방,50,"종합 소매업","섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",1956-03-03,12월,"김준, 김담",http://www.kyungbang.co.kr,서울특별시,NULL,A-
246,경인양행,12610,"기초 화학물질 제조업","반응성염료,직접염료,산성염료,삼원색원료 제조,수출입",1995-10-05,12월,"김흥준,조성용 (각자대표이사)",http://www.kyungin.co.kr,인천광역시,NULL,BBB
247,경인전자,9140,"전자부품 제조업","스위치,리모콘,배선기구,섬머스타트,게임기,전자부품 제조,판매",1989-06-20,12월,김성은,http://www.kie.co.kr,서울특별시,NULL,JB
248,계룡건설산업,13580,"토목 건설업","건축공사,주택공사,토목공사,포장공사,전기공사",1996-01-30,12월,"한승구, 오태식, 윤길호",http://www.krcon.co.kr,대전광역시,NULL,AA-
249,계양전기,12200,"일반 목적용 기계 제조업","전동공구(그라인더,드릴,커팅머신 등), 엔진, 자동차용 모터 제조",1988-07-06,12월,임영환,http://www.keyang.co.kr,서울특별시,NULL,JB
250,고려산업,2140,"곡물가공품, 전분 및 전분제품 제조업","배합사료,플라스틱용기 제조/부동산 임대",1991-01-14,12월,"전장열, 김영교(각자 대표이사)",http://www.hafeed.co.kr,부산광역시,NULL,JB
251,고려아연,10130,"1차 비철금속 제조업","연,아연괴 제조,판매",1990-07-28,12월,"최윤범, 박기덕",http://www.koreazinc.co.kr,서울특별시,NULL,AA-
