corp,stock_code,sector,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential
모나미,005360,유통업,314,2.02,1.58,2.89,1.92,1.98,1.77,0.43,0.54,0.36
모토닉,009680,운수장비,187,2.3,2.08,2.18,2.16,2.64,1.88,0.54,0.58,0.46
무림P&P,009580,종이목재,294,3.08,3.5,3.2,2.58,2.81,2.42,1.99,2.03,1.81
무림페이퍼,009200,종이목재,353,2.95,3.5,2.89,2.5,2.75,2.35,1.67,1.71,1.52
미래산업,025560,의료정밀,88,2.43,1.71,2.94,2.87,2.36,2,0.37,0.49,0.31
미래아이앤지,007120,서비스업,29,2.42,2,2.55,2.55,2.52,2,0.21,0.31,0.24
미원상사,002840,화학,336,3.21,3.34,2.81,2.81,2.99,2.91,1.77,1.84,1.77
미원에스씨,268280,화학,109,3,3.3,2.9,2.4,2.6,2.7,0.43,0.54,0.45
바다로19호,155900,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
백광산업,001340,화학,57,3.73,3.89,3.66,3.16,3.2,3.1,1.76,1.79,1.71
백산,035150,화학,100,2.82,2.22,3.24,2.77,2.85,1.98,0.66,0.73,0.58
범양건영,002410,건설업,52,2.4,2.49,2.43,1.94,2.2,2.04,1.18,1.38,1.18
벽산,007210,비금속광물,260,2.72,2.63,3.09,2.68,2.7,2.21,1.29,1.31,1.17
보령,003850,의약품,1143,3.19,3.55,3.18,2.89,3.04,2.61,1.78,1.77,1.68
보해양조,000890,음식료품,100,2.48,2.62,2.8,2.34,2.18,1.98,0.57,0.68,0.42
부광약품,003000,의약품,377,2.83,2.33,3.6,2.53,2.4,2.17,1.18,1.17,1.05
부산산업,011390,비금속광물,20,3.3,4,3.6,2.6,3,2.4,0.65,0.5,0.2
비비안,002070,섬유의복,272,2.35,2.07,2.93,2.2,2.23,1.73,0.74,0.77,0.66
비상교육,100220,서비스업,1104,3.1,2.7,3.4,3.17,2.63,2.44,1.35,1.38,1.1
비에이치,090460,전기전자,470,2.25,2.2,1.97,1.98,2.27,1.85,0.49,0.58,0.53
빙그레,005180,음식료품,800,3.35,3.44,3.41,2.98,2.81,2.57,1.62,1.66,1.41
사조대림,003960,음식료품,406,2.3,1.98,2.34,2.02,2.52,1.78,1.05,1.07,1.02
사조동아원,008040,음식료품,108,2.47,2.29,2.6,2.3,2.37,1.83,0.95,0.97,0.84
사조산업,007160,"농업, 임업 및 어업",130,1.64,1.78,1.7,1.58,2.31,1.54,0.48,0.5,0.44
삼부토건,001470,건설업,116,3.36,3.02,3.67,3.34,3.2,2.51,2.09,2.04,2.01
삼성SDI,006400,전기전자,3005,3.31,3.52,3.1,3.11,3.05,2.56,1.8,1.79,1.75
삼성공조,006660,운수장비,152,1.71,1.4,1.69,2,1.92,1.49,0.13,0.14,0.06
삼성물산,028260,유통업,1900,3.36,3.79,3.1,3.16,3.18,2.52,2.21,2.17,2.08
삼성바이오로직스,207940,의약품,2302,3.51,3.42,3.3,3.51,3.26,2.72,2.41,2.39,2.4
삼성에스디에스,018260,서비스업,4109,3.4,3.8,3.71,3.3,2.94,2.34,2.02,1.91,1.85
삼성엔지니어링,028050,서비스업,1606,3.07,3.24,2.94,2.97,2.86,2.14,1.49,1.51,1.37
삼성전기,009150,전기전자,2194,3.43,3.76,3.15,3.28,3.08,2.98,1.83,1.85,1.72
삼성전자,005930,전기전자,20990,3.62,3.97,3.1,3.38,3.38,2.85,2.36,2.34,2.27
삼성중공업,010140,운수장비,3168,2.55,2.38,3.17,2.59,2.53,1.81,1.06,1.06,0.97
삼아알미늄,006110,철강금속,85,2.94,2.5,3.68,2.91,2.71,2.37,1.36,1.39,1.25
삼양사,145990,음식료품,758,3.05,2.74,3.51,2.85,2.79,2.44,1.85,1.84,1.69
삼양식품,003230,음식료품,1017,2.6,2.06,3.23,2.51,2.61,1.86,1.28,1.26,1.25
삼양통상,002170,기타제조업,67,1.94,2.12,1.69,1.6,2.32,1.63,0.3,0.42,0.28
삼양패키징,272550,화학,129,3.11,3.21,2.76,2.86,2.86,2.56,1.93,1.94,1.88
삼양홀딩스,000070,기타금융,212,2.88,2.7,3.08,2.74,2.76,2.46,1.88,1.92,1.83
삼영,003720,화학,413,2.42,2.02,2.48,2.02,1.88,1.64,0.4,0.34,0.27
삼영무역,002810,유통업,30,2.15,2.41,4.07,2,1.99,1.67,0.37,0.39,0.27
삼익THK,004380,기계,318,3.25,3.2,3.3,2.8,2.95,2.5,1.87,1.87,1.73
삼익악기,002450,기타제조업,174,2.06,1.84,2.36,1.86,1.93,1.53,0.51,0.46,0.4
삼일씨엔에스,004440,비금속광물,41,2.24,2.09,2.65,2.09,2.09,1.85,1.25,1.28,1.2
삼일제약,000520,의약품,348,2.89,2.92,3.32,2.53,2.61,2.06,1.54,1.52,1.38
삼진제약,005500,의약품,299,3.28,3.83,3.78,2.58,2.49,2.53,1.82,1.78,1.68
삼천리,004690,전기가스업,246,3.66,3.9,4.26,2.95,2.74,2.55,2.31,2.28,2.06
삼호개발,010960,건설업,201,2.42,2.52,1.62,1.98,2.87,2.12,0.61,0.76,0.56
삼화왕관,004450,기계,91,2.62,2.76,2.31,2.46,2.4,2.05,0.58,0.54,0.38
삼화전기,009470,전기전자,114,2.6,2.4,2.6,2.3,2.2,2.4,0.28,0.41,0.16
상신브레이크,041650,운수장비,154,3.31,3.74,3.32,3.04,3.06,2.65,1.74,1.76,1.49
새론오토모티브,075180,운수장비,162,1.98,2.78,2.15,1.68,2.05,1.75,0.61,0.57,0.52
샘표,007540,기타금융,1012,2.6,1.67,3.43,2.91,2.4,2.14,0.95,0.97,0.85
샘표식품,248170,음식료품,1012,2.6,1.67,3.43,2.91,2.4,2.14,0.95,0.97,0.85
서연,007860,기타금융,642,2.02,2.22,2.02,2.01,2.41,1.62,0.16,0.19,0.14
서연이화,200880,운수장비,241,3.34,3.73,3.14,2.66,3.14,2.43,2.15,2.07,2
서흥,008490,화학,359,2.5,2.82,2.66,2,2.44,2.12,0.74,0.83,0.72
선도전기,007610,전기전자,49,2.47,1.92,3.01,2.22,2.26,2.05,0.68,0.72,0.47
선진,136490,음식료품,546,3.09,3.2,2.69,2.54,2.99,2.55,1.73,1.82,1.71
성보화학,003080,화학,49,3.24,2.93,3.84,2.84,2.77,2.64,1.54,1.52,1.3
성신양회,004980,비금속광물,176,2.66,3.17,2.65,2.01,2.51,1.98,1.34,1.34,1.2
성안,011300,섬유의복,68,2.4,2.23,2.27,2.51,2.56,2.26,0.35,0.54,0.28
성창기업지주,000180,서비스업,160,2.01,2.1,2.66,1.81,2.19,1.61,0.37,0.4,0.29
세방,004360,운수창고업,542,2.65,3.24,2.58,2.15,2.53,2.13,0.97,0.98,0.86
세방전지,004490,전기전자,598,2.6,3.16,2.67,2.1,2.43,2.03,1.07,1.08,0.98
세아베스틸지주,001430,철강금속,283,3.41,3.6,3.26,3.01,3.25,3.09,2.18,2.24,2
세아특수강,019440,철강금속,141,3.22,3.34,3.16,2.72,3.04,2.78,1.63,1.68,1.48
세아홀딩스,058650,철강금속,33,4.16,3.78,4.28,4.22,3.7,4.14,3.03,3.02,2.79
세우글로벌,013000,유통업,25,1.94,2.08,2.4,2.1,2.24,1.67,0.72,0.7,0.77
세원이앤씨,091090,기계,227,2.57,2.43,2.86,2.74,2.38,1.97,0.41,0.41,0.28
세종공업,033530,운수장비,215,3.1,2.95,3.4,2.4,2.85,2.3,1.75,1.83,1.66
세진중공업,075580,운수장비,289,2.42,2.35,2.42,2.32,2.4,1.87,0.7,0.73,0.66
셀트리온,068270,의약품,1642,3.35,3.7,2.81,2.89,3.51,2.49,2.02,2.02,1.99
솔루스첨단소재,336370,전기전자,89,3.42,3.34,3.98,3.14,3.34,2.42,2.75,2.71,2.74
솔루엠,248070,전기전자,304,3,2.43,3.24,2.97,2.98,2.41,1.56,1.58,1.52
송원산업,004430,화학,138,3.75,3.65,4.09,3.26,3.26,2.91,2.16,2.12,1.95
수산인더스트리,126720,건설업,537,3.26,3.1,3.69,2.9,2.69,2.57,1.43,1.43,1.26
수산중공업,017550,기계,212,2.93,2.65,2.92,2.81,2.89,2.31,1.47,1.55,1.33
신대양제지,016590,종이목재,31,2.81,2.76,3.16,2.71,2.66,2.51,1.88,1.88,1.71
신도리코,029530,전기전자,729,2.5,2.55,3.3,2.37,2.12,1.87,0.76,0.74,0.6
신라교역,004970,"농업, 임업 및 어업",124,2.31,2.89,2.3,1.86,2.21,1.74,1.14,1.14,0.99
신성이엔지,011930,전기전자,520,2.56,2.17,2.72,2.47,2.77,2.17,0.96,1.03,0.9
신세계,004170,유통업,1186,3.4,3.45,3.84,2.96,2.8,2.76,1.92,1.9,1.73
신세계인터내셔날,031430,유통업,1244,3.45,3.5,3.89,3.1,2.99,2.75,2.04,2.02,1.85
신세계푸드,031440,서비스업,942,2.92,3.25,2.98,2.62,2.5,2.45,1.34,1.4,1.19
신송홀딩스,006880,유통업,27,2.1,2.34,2.42,1.95,2.26,2,1.21,1.28,1.17
신영와코루,005800,섬유의복,361,2.13,1.92,2.57,1.83,2.02,1.82,0.51,0.59,0.41
신원,009270,섬유의복,697,2.61,2.98,2.28,2.24,2.76,2.1,1.25,1.24,1.13
신풍,002870,유통업,335,2.5,2.4,2.7,2.2,2.4,2,0.27,0.29,0.1
신풍제약,019170,의약품,495,2.57,2.37,2.9,2.2,2.47,2.03,1.05,1.07,0.94
신흥,004080,유통업,588,2.2,2.66,2.04,1.89,2.2,1.69,0.44,0.44,0.39
쌍방울,102280,섬유의복,243,1.97,1.65,2.52,2.24,1.78,1.57,0.32,0.37,0.23
써니전자,004770,전기전자,11,2.5,2.7,3,2.6,2.4,2.1,0.18,0.18,0.09
쏘카,403550,서비스업,748,3.15,2.35,3.7,3.4,3.1,2.65,1.88,1.91,1.84
씨아이테크,004920,기타제조업,23,2.14,1.67,3.58,2.1,2.28,1.65,0.58,0.62,0.49
씨에스윈드,112610,기계,45,3.38,3.83,3.44,2.67,3.03,2.68,1.96,1.98,1.82
아남전자,008700,전기전자,128,1.92,1.69,2.01,1.89,2.04,1.66,0.41,0.41,0.34
아모레퍼시픽,090430,화학,3374,3.5,3.31,4.04,3.55,2.95,2.61,2.02,1.96,1.8
아세아,002030,서비스업,164,2,2.2,1.6,1.8,2.5,1.8,0.15,0.2,0.18
아세아시멘트,183190,비금속광물,58,3.52,3.72,3.57,2.82,2.87,3.15,1.3,1.46,1.02
아세아제지,002310,종이목재,51,3.14,3.5,3.06,2.68,2.92,2.68,1.04,1.11,0.9
아센디오,012170,서비스업,45,1.6,1.4,1.6,1.7,1.6,1.5,0.09,0.11,0.09
아시아나항공,020560,운수창고업,1462,2.79,2.73,3.45,2.64,2.4,1.73,1.6,1.5,1.46
아이마켓코리아,122900,유통업,423,3.22,3.28,3.55,3.08,2.78,2.7,1.19,1.2,0.86
아이에스동서,010780,비금속광물,385,3.12,3.51,2.94,2.53,2.99,2.52,1.74,1.75,1.66
아주스틸,139990,철강금속,277,2.73,2.74,2.19,2.54,2.83,2.39,1.42,1.55,1.46
알루코,001780,철강금속,48,2.33,2.12,2.02,2.18,2.38,1.81,0.69,0.71,0.65
애경산업,018250,화학,745,2.84,2.6,3.02,2.78,2.72,2.16,1.29,1.27,1.13
애경케미칼,161000,화학,275,2.69,2.49,3.1,2.45,2.69,2.09,1.52,1.54,1.44
에넥스,011090,기타제조업,353,2.17,2.05,2.59,1.85,2.2,1.62,0.67,0.68,0.61
에스엘,005850,운수장비,1373,2.81,3.17,2.44,2.47,2.94,2.03,1.47,1.43,1.37
에스엠벡셀,010580,운수장비,86,1.78,1.98,2.08,1.91,1.88,1.48,0.46,0.53,0.42
에스원,012750,서비스업,1695,2.84,2.93,2.97,2.5,2.46,2.18,1.37,1.41,1.28
에쓰씨엔지니어링,023960,건설업,98,2.15,1.85,2.75,2.17,2.3,1.91,0.83,0.88,0.74
에이블씨엔씨,078520,화학,921,2.5,2.45,2.98,2.4,2.47,1.77,0.84,0.86,0.73
에이엔피,015260,전기전자,68,2.5,2.69,2.79,2.53,2.18,1.89,0.36,0.44,0.22
에이프로젠,007460,기계,651,2.57,2.2,2.95,2.61,2.91,2.06,1.62,1.67,1.6
에이프로젠바이오로직스,003060,의약품,282,2.4,2.2,2.5,2.5,2.8,2,0.2,0.33,0.16
에이플러스에셋,244920,기타금융,227,2.13,1.66,2.46,2.02,2.2,1.72,0.8,0.89,0.82
엔씨소프트,036570,서비스업,2766,3.6,3.94,3.46,3.24,3.08,2.58,2.41,2.4,2.25
엔케이,085310,기계,250,2.98,2.51,3.47,2.78,2.81,2.57,0.54,0.64,0.48
엠씨넥스,097520,전기전자,745,1.93,1.55,2.05,2.13,2.25,1.63,0.5,0.57,0.58
영보화학,014440,화학,18,2.91,3.09,3.02,2.53,2.53,2.15,0.44,0.55,0.22
영원무역,111770,유통업,418,2.61,2.29,3.14,2.29,2.61,2.07,1.28,1.27,1.16
영원무역홀딩스,009970,기타금융,5,2.6,2.6,3.4,2.4,2.8,2.2,0.4,0.4,0.2
영풍,000670,철강금속,699,2.04,2.04,1.91,1.94,2.2,1.7,0.43,0.51,0.37
영풍제지,006740,종이목재,24,2.35,2.48,2.83,2.12,2.31,1.97,0.75,0.85,0.71
영흥,012160,철강금속,93,2.93,2.8,3.37,2.73,2.57,2.17,1.17,1.11,0.95
오뚜기,007310,음식료품,1346,2.54,2.43,2.58,2.24,2.74,2.13,1.11,1.2,1.12
오리온,271560,음식료품,586,2.82,2.86,2.64,2.5,2.76,2.28,1.36,1.4,1.32
오리온홀딩스,001800,기타금융,586,2.82,2.86,2.64,2.5,2.76,2.28,1.36,1.4,1.32
와이투솔루션,011690,전기전자,70,2.23,1.61,2.39,2.36,2.37,2.06,0.3,0.42,0.27
용평리조트,070960,서비스업,227,2.77,2.74,2.71,2.56,2.29,2.31,0.59,0.66,0.34
우성,006980,음식료품,138,2.5,2.63,2.58,2.22,2.61,2.12,0.46,0.46,0.33
우신시스템,017370,기계,119,2.36,2.14,2.04,2.42,2.94,1.92,0.64,0.68,0.59
우진,105840,의료정밀,360,2.08,1.64,2.06,2.08,2.21,1.74,0.31,0.45,0.33
우진아이엔에스,010400,건설업,34,2.63,2.17,2.65,2.8,2.71,2.23,0.65,0.77,0.44
우진플라임,049800,기계,361,2.04,1.63,1.95,2.03,2.24,1.73,0.27,0.41,0.29
웅진,016880,서비스업,1108,3.16,2.81,3.31,3.27,2.81,2.73,0.87,0.95,0.57
웅진씽크빅,095720,서비스업,1214,3.22,2.88,3.41,3.28,2.8,2.78,1.13,1.21,0.86
원림,005820,섬유의복,9,2.23,2.2,3.13,1.69,2.92,1.92,0.55,0.7,0.55
웰바이오텍,010600,유통업,18,2.34,1.99,3.29,2.1,1.94,2.02,1.12,1.29,1.12
윌비스,008600,유통업,197,2.58,2.21,3.06,2.34,2.31,2.24,0.84,0.91,0.71
유니드,014830,화학,147,2.57,3.2,2.98,2.2,2.49,2.05,1.56,1.53,1.51
유니온,000910,비금속광물,152,2.39,1.99,2.9,2.39,2.4,2.1,0.31,0.46,0.25
유니온머티리얼,047400,비금속광물,103,3.25,3.4,3.9,2.65,2.95,1.85,1.94,1.84,1.74
유니켐,011330,기타제조업,9,2.2,2.4,3.4,2,2.3,2,0.11,0.22,0.22
유니퀘스트,077500,유통업,82,3.43,2.7,3.64,3.08,3.31,2.75,1.98,2,1.85
유수홀딩스,000700,서비스업,7,3.04,3.17,4.3,2.74,2.57,2.41,1.44,1.3,1.3
유엔젤,072130,서비스업,227,3.06,2.98,3.4,2.74,2.8,2.22,0.9,0.98,0.63
유유제약,000220,의약품,332,2.83,2.77,3.36,2.63,2.6,2.53,1.24,1.45,1.1
유한양행,000100,의약품,801,3.4,3.9,3.06,2.45,3.1,2.3,2.08,2.04,1.95
율촌화학,008730,화학,207,2.95,3.05,3,2.45,2.8,2.4,1.73,1.7,1.56
이건산업,008250,종이목재,107,2.8,2.57,3.06,2.73,2.67,1.97,1.99,1.97,1.94
이노션,214320,서비스업,847,3.25,3.41,2.74,2.96,3.25,2.35,1.84,1.78,1.65
이마트,139480,유통업,3634,3.4,3.3,3.56,3.07,2.64,2.74,1.4,1.46,1.19
이수페타시스,007660,전기전자,211,3.1,3.52,2.82,2.46,2.92,2.38,1.47,1.47,1.35
이아이디,093230,유통업,42,2.82,2.34,2.94,2.65,2.79,2.22,0.69,0.9,0.62
이엔플러스,074610,기계,7,2.57,2,3.11,2.4,2,2.26,0.71,0.71,0.57
이연제약,102460,의약품,410,2,1.9,2.53,2.03,2.15,1.93,0.7,0.91,0.7
이화산업,000760,유통업,25,2.09,2.49,2,1.82,2.62,1.53,0.32,0.44,0.32
인디에프,014990,섬유의복,303,2.46,2.54,2.9,2.17,2.24,1.8,0.98,1,0.84
인스코비,006490,통신업,44,2.53,2.25,3.47,2.27,2.23,2.09,0.85,0.91,0.8
인지컨트롤스,023800,운수장비,566,2.16,1.67,2.24,2.2,2.74,1.8,0.75,0.77,0.73
인터지스,129260,운수창고업,213,2.46,2.62,2.79,2.3,2.52,2.02,1.1,1.18,1.05
인팩,023810,운수장비,423,2.74,2.35,2.69,2.5,2.8,2.35,1.53,1.66,1.55
일동제약,249420,의약품,985,3.29,3.9,3.28,2.84,3,2.51,1.85,1.87,1.69
일성건설,013360,건설업,159,3.35,3.35,3.55,3,3.05,2.8,2.01,2.03,1.89
일신방직,003200,섬유의복,113,2.76,2.14,3.53,2.69,2.52,2.26,0.76,0.73,0.65
일양약품,007570,의약품,649,2.4,2.73,2.39,1.94,2.37,1.88,0.84,0.86,0.79
일정실업,008500,섬유의복,45,1.69,1.64,2.09,1.89,1.62,1.53,0.25,0.25,0.2
일진다이아,081000,화학,207,2.55,2.32,2.66,2.25,2.45,2.03,0.61,0.67,0.53
일진디스플,020760,전기전자,250,2.46,2.56,2.21,2.36,2.35,2.26,0.41,0.56,0.29
일진전기,103590,전기전자,433,2.38,2.1,2.76,2.2,2.4,1.93,0.8,0.82,0.72
잇츠한불,226320,화학,228,2.55,2.85,3.53,2.53,2.47,1.85,0.89,0.94,0.73
자이에스앤디,317400,서비스업,252,3.12,2.56,3.54,3.1,2.94,2.74,1.57,1.64,1.59
자화전자,033240,전기전자,681,2.39,2.65,2.12,2.19,2.52,1.89,0.97,1.05,0.96
제이에스코퍼레이션,194370,기타제조업,84,2.13,2.2,1.87,2.12,2.21,1.85,0.39,0.5,0.41
제이준코스메틱,025620,화학,158,2.13,2.11,2.94,2.1,2.17,1.69,0.39,0.43,0.35
제일기획,030000,서비스업,1412,3.56,3.61,2.9,3.48,3.39,2.71,1.8,1.72,1.53
제일약품,271980,의약품,1311,2.64,2.74,2.95,2.3,2.51,1.92,1.2,1.17,1.09
제일연마,001560,비금속광물,23,2.62,2.9,2.47,2.39,2.35,2.39,0.97,1.33,0.93
제주항공,089590,운수창고업,928,3.04,2.59,3.07,2.79,2.89,2.43,1.86,1.89,1.8
조광페인트,004910,화학,260,3.1,2.94,3.53,2.7,2.77,2.44,1.18,1.29,1.02
조선내화,000480,비금속광물,154,2.88,3.44,3.12,2.35,2.59,2.28,1.08,1.1,0.83
조흥,002600,음식료품,87,3.03,2.8,3.37,2.53,2.73,2.43,1.29,1.33,1.23
종근당,185750,의약품,2407,3.4,3.83,3.16,2.86,3.45,2.71,2.27,2.24,2.22
종근당바이오,063160,의약품,409,3.1,3.2,3.18,2.5,2.75,2.31,1.63,1.66,1.51
주연테크,044380,전기전자,47,2.67,2.04,3.83,2.77,2.02,2.3,0.38,0.5,0.19
지누스,013890,기타제조업,90,3.81,3.91,3.81,3.48,3.62,3.52,2.48,2.47,2.42
지엠비코리아,013870,운수장비,189,3.07,2.87,2.77,2.6,3.17,2.43,1.35,1.4,1.26
지역난방공사,071320,전기가스업,666,3.89,3.59,4.25,3.44,3.15,2.73,2.39,2.27,2.13
지투알,035000,서비스업,22,3.9,3.58,4.22,3.66,3.32,3.24,2.46,2.44,2.32
진양산업,003780,화학,19,2.71,2.71,2.76,2.71,3.04,2.42,0.37,0.42,0.37
진원생명과학,011000,의약품,40,1.85,2.48,2.92,1.88,1.78,1.68,0.67,0.75,0.65
참엔지니어링,009310,기계,364,2.35,1.95,2.57,2.62,2.57,1.75,0.61,0.65,0.53
청호ICT,012600,기계,67,2.18,1.76,3.19,2.51,2.08,1.57,0.18,0.19,0.12
카카오,035720,서비스업,3315,3.6,3.17,4.17,3.84,3.4,2.67,2.56,2.47,2.46
카카오페이,377300,기타금융,856,3.55,3.09,3.62,3.55,3.54,2.4,2.73,2.72,2.7
케이비아이동국실업,001620,운수장비,131,2.36,2,2.36,2.34,2.76,1.9,1.43,1.47,1.38
케이씨,029460,의료정밀,1542,2.64,2.83,2.36,2.16,2.54,2.15,0.38,0.46,0.25
케이탑리츠,145270,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
코리아써키트,007810,전기전자,1119,2.56,2.6,2.08,2.32,2.52,2.02,0.71,0.75,0.67
코스맥스,192820,화학,1245,2.91,3.21,2.61,2.48,3.02,2.34,1.52,1.65,1.57
코스모화학,005420,화학,133,2.7,2.57,2.93,2.91,2.92,2.3,1.05,1.12,1
코아스,071950,기타제조업,384,1.96,1.78,2.18,1.94,2.06,1.67,0.26,0.35,0.22
코오롱,002020,기타금융,628,3.21,3.2,3.43,2.91,3.08,2.52,0.69,0.6,0.29
코오롱글로벌,003070,건설업,486,3.31,3.24,3.35,3.18,3.11,2.81,1.66,1.68,1.41
코오롱인더,120110,화학,1281,3.2,3.15,3.56,2.9,2.99,2.45,1.96,1.92,1.77
코오롱플라스틱,138490,화학,196,3.05,3.15,3.35,2.85,2.85,2.4,1.75,1.76,1.72
코웨이,021240,서비스업,1394,3.04,3.04,3.38,2.98,2.7,2.32,1.46,1.44,1.35
콤텍시스템,031820,서비스업,339,2.9,2.43,2.75,2.67,2.98,2.4,1.04,1.06,0.9
