corp,stock_code,sector,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential
쿠쿠홀딩스,192400,기타금융,18,2.2,2.7,2,1.9,1.9,1.4,0.28,0.33,0.28
쿠쿠홈시스,284740,서비스업,174,1.9,2.3,1.9,1.6,2.1,1.7,0.14,0.18,0.21
크라운해태홀딩스,005740,기타금융,243,1.83,1.43,2.34,1.69,2.53,1.43,1.55,1.56,1.55
크래프톤,259960,서비스업,809,3.53,3.87,3.13,3.47,3.3,2.77,2.61,2.59,2.52
태경비케이,014580,비금속광물,28,2.74,2.64,2.71,2.34,2.67,2.04,0.88,1.03,0.82
태경산업,015890,화학,33,2.83,3.03,2.92,2.89,2.85,2.24,0.55,0.67,0.52
태광산업,003240,화학,791,2.19,1.94,2.95,2.04,2.25,1.69,1.21,1.22,1.14
태림포장,011280,종이목재,211,2.57,2.7,2.35,2.35,2.42,2.15,0.8,0.93,0.83
태영건설,009410,건설업,491,3.1,3.3,2.7,2.28,2.94,2.32,2.07,2.03,1.98
태평양물산,007980,섬유의복,712,3.01,3.05,2.86,3.14,2.77,2.45,1.19,1.2,0.99
테이팩스,055490,화학,183,2.67,2.97,2.33,2.27,2.35,1.87,0.85,0.85,0.91
텔코웨어,078000,서비스업,181,2.9,2.78,3.2,2.88,2.64,2.06,1.4,1.35,1.22
토니모리,214420,화학,576,2.35,2.45,2.31,2.18,2.39,1.88,0.73,0.8,0.66
티에이치엔,019180,전기전자,283,2.12,2.5,2.28,1.76,2.27,1.66,0.85,0.89,0.8
티웨이항공,091810,운수창고업,533,3.56,2.96,3.73,3.53,3.18,3.49,2.5,2.62,2.46
팜스코,036580,음식료품,187,3.11,3.14,2.64,2.71,2.91,2.67,1.46,1.62,1.41
팜젠사이언스,004720,의약품,56,2.46,2.55,2.96,2.16,2.59,2.06,0.98,1.07,0.88
팬오션,028670,운수창고업,292,3.36,3.46,2.59,2.93,3.36,2.53,1.43,1.39,1.27
퍼시스,016800,기타제조업,715,2.92,2.06,3.54,3.28,2.78,2.46,1.35,1.41,1.26
페이퍼코리아,001020,종이목재,10,3.16,2.98,3.88,2.79,2.84,2.79,1.39,1.46,1.19
평화산업,090080,운수장비,363,2.36,2.9,2.06,2.04,2.47,1.79,1.39,1.39,1.33
평화홀딩스,010770,운수장비,292,2.59,3.03,2.13,2.13,2.66,1.89,1.77,1.78,1.69
포스코스틸리온,058430,철강금속,89,2.85,3.4,3.15,2.35,2.45,2.1,1.71,1.76,1.57
포스코인터내셔널,047050,유통업,753,3.65,4.2,3.35,3.05,3.5,2.6,2.21,2.15,2.01
포스코퓨처엠,003670,전기전자,711,3.47,3.74,3.34,3,3.2,2.41,2.43,2.37,2.43
풀무원,017810,음식료품,1266,2.94,2.61,3.09,2.87,2.9,2.27,1.99,2,1.93
풍산홀딩스,005810,기타금융,244,3.38,3.62,3.37,2.57,2.75,2.37,3.12,3.09,3.06
플레이그램,009810,유통업,15,2.77,2.03,2.56,2.65,2.56,2.03,0.2,0.26,0.26
하나투어,039130,서비스업,2498,2.94,2.1,3.83,3.3,2.88,2.24,1.12,1.11,1.02
하이스틸,071090,철강금속,83,1.9,1.7,2.4,2,1.9,1.7,0.18,0.18,0.07
하이트진로,000080,음식료품,707,3.69,4.19,3.34,2.9,3.1,2.7,2.25,2.19,2.07
한국가스공사,036460,전기가스업,1097,4.2,4.09,4.46,3.9,3.53,3.13,2.69,2.58,2.47
한국공항,005430,운수창고업,316,3.22,3.23,3.38,2.63,2.8,2.52,0.9,0.78,0.63
한국내화,010040,비금속광물,144,3.29,3.85,3.29,2.57,3.03,2.55,1.25,1.3,0.99
한국무브넥스,010100,운수장비,100,3.54,3.86,3.92,3,3.11,2.64,2.02,1.9,1.73
한국앤컴퍼니,000240,기타금융,77,3.2,2.9,3.44,2.7,2.96,2.22,0.99,0.9,0.72
한국전자홀딩스,006200,기타금융,120,2.31,2.11,2.19,1.81,2.77,1.72,2.18,2.18,2.17
한국카본,017960,기계,346,2.23,1.78,2.91,2.13,2.31,1.63,0.96,0.98,0.99
한국콜마,161890,화학,1382,2.7,2.7,2.5,2.4,2.93,2.17,1.2,1.23,1.21
한국콜마홀딩스,024720,기타금융,498,2.87,2.89,2.89,2.41,2.99,2.11,2.76,2.76,2.76
한국타이어앤테크놀로지,161390,화학,940,2.8,2.3,3.66,2.72,2.72,1.9,2.31,2.28,2.27
한국항공우주,047810,운수장비,1484,3.76,4.2,4.11,3.14,3.2,2.28,2.42,2.26,2.27
한국화장품,123690,유통업,107,2.54,2.36,3.32,2.4,2.34,1.9,0.64,0.7,0.49
한독,002390,의약품,799,3.39,3.02,3.88,3.54,3.03,2.94,1.92,1.94,1.63
한미글로벌,053690,서비스업,288,3.26,3.04,3.66,2.88,2.96,2.28,2.14,2.12,2.02
한미반도체,042700,기계,676,2.32,2.08,2.09,2.14,2.43,1.78,0.7,0.71,0.74
한미사이언스,008930,기타금융,49,3.05,3.17,3.32,2.62,2.75,2.43,2.19,2.23,2.06
한미약품,128940,의약품,2174,2.98,2.88,2.76,2.64,3.08,2.4,1.47,1.52,1.45
한샘,009240,유통업,3379,2.55,2.59,2.12,2.38,2.83,2.07,0.89,1,0.93
한섬,020000,섬유의복,1026,2.74,2.81,2.87,2.21,2.77,2.17,1.44,1.46,1.34
한세실업,105630,섬유의복,980,2.6,3.5,1.78,2.2,2.73,2.12,0.94,0.97,0.89
한세엠케이,069640,유통업,296,2.18,2.11,2.59,2.01,2.1,1.71,0.64,0.65,0.54
한세예스24홀딩스,016450,섬유의복,175,2.44,1.91,3.56,2.16,2.04,1.79,2.28,2.3,2.27
한솔로지스틱스,009180,운수창고업,207,3.04,2.74,3.24,3.07,2.88,2.47,1.37,1.4,1.2
한솔제지,213500,종이목재,315,2.93,2.8,3.1,2.94,2.8,2.33,1.17,1.18,0.99
한솔테크닉스,004710,전기전자,385,2.8,2.93,2.44,2.63,2.8,2.37,1.22,1.3,1.1
한솔홈데코,025750,종이목재,156,2.84,2.94,3.17,2.7,2.56,2.24,1.46,1.44,1.33
한신공영,004960,건설업,489,2.3,2.16,1.99,2.05,2.51,1.71,1.14,1.13,1.1
한온시스템,018880,기계,723,3.12,3.33,3.65,3.01,2.9,1.97,1.61,1.48,1.48
한올바이오파마,009420,의약품,91,3.2,3.47,3.13,2.97,2.9,2.6,1.38,1.47,1.34
한익스프레스,014130,운수창고업,362,2.82,2.78,2.62,2.38,2.88,2.26,1.38,1.39,1.26
한일시멘트,300720,비금속광물,217,3.03,3.11,2.92,2.49,2.73,2.4,2.12,2.12,2.06
한전KPS,051600,건설업,2138,3.86,3.91,3.9,3.27,3.76,3.02,2.1,2.07,1.88
한전산업,130660,서비스업,800,3.04,2.7,3.64,2.92,2.66,2.12,1.42,1.32,1.23
한진,002320,운수창고업,892,2.76,2.26,2.96,2.49,2.9,2.12,1.19,1.22,1.12
한진칼,180640,운수창고업,4,3.03,3.78,3.03,2.47,2.72,2.25,2.28,2.28,2.28
한창,005110,유통업,69,1.79,1.75,2.03,1.89,1.97,1.63,0.19,0.37,0.28
한컴라이프케어,372910,의료정밀,156,1.78,1.88,2,1.68,2.12,1.75,0.57,0.68,0.52
한화,000880,화학,1879,2.96,2.92,3.34,3.16,2.87,2.14,0.98,0.97,0.84
한화시스템,272210,전기전자,1268,3.4,3.13,3.82,3.27,2.78,2.6,2.64,2.61,2.56
한화에어로스페이스,012450,운수장비,705,2.84,2.72,3.21,2.74,2.64,2.03,1.3,1.31,1.18
한화오션,042660,운수장비,2260,2.94,2.56,3.6,3.42,2.94,2,1.29,1.28,1.18
해성디에스,195870,전기전자,475,3.4,3.75,2.78,3.05,3.11,2.9,1.85,1.9,1.86
해태제과식품,101530,음식료품,1088,2.32,1.82,2.67,2.16,2.44,1.84,0.59,0.62,0.51
핸즈코퍼레이션,143210,운수장비,417,2.21,2.56,1.69,1.74,2.43,1.91,0.39,0.48,0.4
현대건설,000720,건설업,2226,3.19,3.37,2.65,2.69,3.23,2.54,1.94,1.94,1.81
현대글로비스,086280,운수창고업,1145,3.05,3.39,3.21,2.9,2.64,2.34,1.84,1.84,1.75
현대로템,064350,운수장비,968,3.06,3.13,3.28,2.66,2.59,2.27,1.58,1.58,1.44
현대리바트,079430,기타제조업,808,2.93,3.17,3.11,2.74,2.67,2.26,1.5,1.52,1.42
현대모비스,012330,운수장비,3544,3.37,3.37,3.96,3.13,2.87,2.44,2.38,2.34,2.29
현대미포조선,010620,운수장비,572,2.81,2.9,2.67,2.32,2.87,2.17,1.58,1.58,1.49
현대백화점,069960,유통업,2320,3.12,3.5,2.8,2.73,2.62,2.49,1.56,1.6,1.38
현대비앤지스틸,004560,철강금속,155,3,3.26,2.93,2.45,2.93,2.27,1.26,1.29,1.09
현대오토에버,307950,서비스업,1783,3.28,3.3,3.64,3.28,2.72,2.38,2.19,2.06,2.05
현대위아,011210,운수장비,751,3.07,3.62,3.03,2.51,2.86,2.36,1.44,1.47,1.34
현대제철,004020,철강금속,2215,2.81,3.27,2.84,2.25,2.46,2.06,1.49,1.47,1.38
현대코퍼레이션,011760,유통업,148,3.16,3.56,3.46,2.64,3.14,2.27,2.94,2.95,2.93
현대퓨처넷,126560,통신업,206,2.93,3.42,3.22,2.63,2.53,2.33,0.43,0.45,0.09
현대홈쇼핑,057050,유통업,1108,3.4,3.45,4,3.2,2.55,2.55,1.96,1.94,1.76
호전실업,111110,섬유의복,172,2.8,2.44,3.39,2.3,2.74,2.5,1.23,1.3,1.08
호텔신라,008770,유통업,1803,2.86,2.72,2.8,2.59,2.5,2.42,1.18,1.31,1.06
화성산업,002460,건설업,135,2.96,2.32,2.66,2.82,3.1,2.52,1.51,1.62,1.42
화승알앤에이,378850,운수장비,314,2.63,3.36,2.87,2.21,2.53,2.04,1.21,1.2,1.12
화승엔터프라이즈,241590,기타제조업,23,2.87,3.31,2.36,2.29,2.86,2.57,1.4,1.49,1.27
화승코퍼레이션,013520,운수장비,201,2.82,3.4,2.75,2.32,2.71,2.29,0.61,0.58,0.46
화신,010690,운수장비,398,3.23,2.86,3.37,3.19,3.06,2.92,1.46,1.58,1.21
화천기공,000850,기계,170,2.57,3.13,2.29,1.94,2.63,1.87,1.54,1.54,1.44
환인제약,016580,의약품,625,2.32,2.38,2.14,1.92,2.46,1.92,1,1.04,0.96
황금에스티,032560,철강금속,112,2.18,2,1.91,1.87,2.37,1.87,0.8,0.81,0.81
효성,004800,기타금융,2895,2.38,2.14,2.68,2.26,2.44,1.92,1.37,1.41,1.29
효성중공업,298040,전기전자,644,2.6,2.55,2.72,2.58,2.67,2,0.79,0.76,0.63
효성첨단소재,298050,화학,171,2.34,2.2,2.2,2.02,2.5,1.78,1.04,1.08,1.05
효성티앤씨,298020,화학,250,2.45,2.2,2.95,2.15,2.59,1.8,1.29,1.3,1.21
효성화학,298000,화학,231,2.3,1.95,2.55,2.35,2.5,1.7,1.24,1.22,1.21
후성,093370,화학,194,3.8,3.85,3.95,2.95,3.45,3.05,2.36,2.36,2.24
휠라홀딩스,081660,유통업,280,3.11,2.9,3.47,2.71,3,2.4,1.93,2.02,1.87
휴비스,079980,화학,348,2.86,3.12,2.94,2.62,2.8,2.14,1.34,1.33,1.18
휴스틸,005010,철강금속,148,2.52,2.53,3.18,2.26,2.19,1.81,0.99,0.97,0.9
흥아해운,003280,운수창고업,91,2.51,2.32,2.33,2.21,2.87,2.22,0.39,0.46,0.27
DN오토모티브,007340,전기전자,128,2.6,2.67,2.44,2.37,2.34,2.07,1.3,1.29,1.35
HD현대건설기계,267270,기계,472,2.76,2.72,3.1,2.4,2.7,2.08,1.81,1.79,1.71
HD현대중공업,329180,운수장비,3235,2.67,2.55,3.1,2.41,2.63,2.01,1.07,1.07,0.97
HJ중공업,097230,건설업,523,2.8,2.57,2.86,2.56,2.8,2,1.37,1.38,1.29
HL홀딩스,060980,기타금융,154,3.24,3.66,3.54,3.29,2.95,2.59,1.87,1.85,1.72
SNT다이내믹스,003570,운수장비,69,2.56,2.17,3.12,2.49,2.72,2.02,1.06,1.16,1.06
SNT에너지,100840,기계,58,2.49,2.29,2.31,2.14,2.55,1.89,1.42,1.46,1.4
"YG PLUS",037270,서비스업,337,2.73,2.38,2.48,2.56,2.87,2.11,2.04,2.08,2
한전기술,052690,서비스업,493,4.09,3.89,4.5,4.29,3.89,3,4.07,4.07,4.07
CS홀딩스,000590,기타금융,1,3,2,3,3,3,3,1.29,1,1.14
KISCO홀딩스,001940,철강금속,365.78,2.69,2.68,2.81,2.42,2.55,2.21,1.21,1.25,1.09
KPX홀딩스,092230,화학,1,3,1,2,2,3,2,1.27,1.29,1.17
MH에탄올,023150,음식료품,1,5,5,5,3,2,3,1,1,1.08
WISCOM,024070,화학,35,1.88,2.08,2.13,1.63,2.25,1.63,0.34,0.45,0.22
경인전자,009140,전기전자,4,1.8,1.8,4.3,2.3,2.3,1.3,1.18,1.22,1.11
고려산업,002140,음식료품,23,2.27,2.77,2,1.82,2.73,1.77,0.39,0.45,0.26
농심홀딩스,072710,기타금융,676.32,2.75,2.69,2.92,2.54,2.59,2.25,1.29,1.3,1.14
대상홀딩스,084690,기타금융,2,4,3.5,4.5,4,2.5,3.5,1,1,1.14
대성홀딩스,016710,서비스업,20,2.4,1.9,4,2.6,1.9,2,0.1,0.25,1.23
동원수산,030720,"농업, 임업 및 어업",23,2.83,2.49,3.89,2.7,2.54,2.19,1.66,1.61,1.53
동일산업,004890,철강금속,39,3.01,2.76,3.17,2.43,2.33,2.22,1.08,1.06,0.85
모두투어리츠,204210,서비스업,6,2.2,2.2,3.5,2.2,2.3,2,1.34,0.5,0.17
비케이탑스,030790,서비스업,1,3,2,4,3,2,1,1.34,1.36,1.23
성문전자,014910,전기전자,39,1.62,1.41,2.12,1.59,1.43,1.28,0.1,0.16,0.1
시디즈,134790,기타제조업,33,0.06,0.03,0.03,0.09,0.09,0.06,0.06,0.06,0.06
인천도시가스,034590,전기가스업,39,3.4,3,4.3,2.74,2.61,2.43,2.57,2.54,2.44
일동홀딩스,000230,의약품,792.72,2.82,2.95,3,2.52,2.67,2.25,1.4,1.43,1.3
일진홀딩스,015860,기타금융,11,2.09,1.71,2.45,1.91,2.27,1.93,1,1.11,1
종근당홀딩스,001630,의약품,11,2.75,3.09,3.16,2.25,2.44,2.62,2.02,2.2,2.02
진도,088790,유통업,37,1.53,1.22,2.66,1.92,1.38,1.38,0.28,0.37,0.28
진양홀딩스,100250,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
컨버즈,109070,전기전자,14,2.77,1.54,3.39,2.54,2.39,2.38,0.49,0.85,0.49
태경케미컬,006890,화학,8,2.99,3.38,2.89,2.26,2.74,2.11,0.99,0.99,0.86
하이트진로홀딩스,000140,기타금융,6,3,3.7,4,2.3,3,2,0.67,1.3,0.33
한솔홀딩스,004150,기타금융,1,1,1,1,2,1,1,1,1,1
한진중공업홀딩스,003480,전기가스업,235,2.79,2.39,2.79,2.5,2.79,1.99,2.76,2.75,2.75
현대코퍼레이션홀딩스,227840,유통업,5,3,3.6,3.6,2.6,3,2,0.2,0.6,1.01
DB하이텍,000990,전기전자,821,3.04,3.12,3.03,2.66,3.12,2.3,1.62,1.58,1.58
LIG넥스원,079550,기계,1339,3.67,3.56,3.64,3.67,3.12,2.7,2.77,2.74,2.66
SK텔레콤,017670,통신업,2411,3.82,4.28,4.08,3.72,3.01,2.95,2.51,2.45,2.32
기아,000270,운수장비,2353,3.78,3.76,3.9,3.23,3.18,2.93,2.31,2.27,2.17
키다리스튜디오,020120,서비스업,192,3.28,3.26,3.57,3.17,3.04,2.67,2.17,2.17,2.12
풍산,103140,철강금속,545,3.46,3.72,3.28,2.68,2.88,2.48,1.77,1.68,1.46
하이브,352820,서비스업,791,2.99,3.27,2.39,2.69,2.86,2.34,2.33,2.39,2.34
한솔케미칼,014680,화학,422,3.5,3.6,3.43,3.1,3.3,2.77,2.48,2.47,2.49
"HL D&I",014790,건설업,121,3.48,3.48,3.7,3.29,3.09,2.78,3.44,3.44,3.44
HLB글로벌,003580,광업,4,2.5,1.75,2.75,1.75,2.25,1.5,2,2,2
SNT홀딩스,036530,기타금융,1,2,3,3,1,1,1,1,1.3,1.14
더메디팜,118000,유통업,3,2.7,2.3,3,3,2.3,3,1.12,1,0.33
덴티움,145720,의료정밀,992,3.08,3.51,2.44,2.89,3.27,2.55,1.14,1.09,1.17
미원홀딩스,107590,기타금융,219,3.08,3.32,2.71,2.68,2.72,2.77,0.85,0.96,0.85
세아제강지주,003030,기타금융,232,3.73,3.91,3.49,3.13,3.52,3.63,2.47,2.52,2.29
쎌마테라퓨틱스,015540,서비스업,10,2.18,1.92,2.64,2.1,1.92,1.68,0.6,0.5,0.5
씨티알모빌리티,308170,운수장비,377,3,2.39,3.68,3.48,2.68,2.7,2.53,2.56,2.51
제일파마홀딩스,002620,서비스업,1312,2.64,2.74,2.95,2.3,2.51,1.92,1.2,1.17,1.09
콘텐트리중앙,036420,서비스업,144,2.58,2.14,2.38,2.64,2.27,2.15,0.63,0.69,0.46
티와이홀딩스,363280,기타금융,491,3.1,3.3,2.7,2.28,2.94,2.32,2.07,2.03,1.98
한일홀딩스,003300,비금속광물,217,3.03,3.11,2.92,2.49,2.73,2.4,2.12,2.12,2.06
현대지에프홀딩스,005440,기타금융,1221,2.76,3.24,2.66,2.34,2.44,2.14,1.32,1.32,1.18
디와이,013570,기타금융,231,3.17,2.95,3.2,3.04,3.07,2.78,2.19,2.21,2.07
LX홀딩스,383800,기타금융,676.32,2.75,2.69,2.92,2.54,2.59,2.25,1.29,1.3,1.14
한국수출포장공업,002200,종이목재,187.25,2.75,2.86,2.99,2.54,2.57,2.25,1.29,1.33,1.18
한국단자공업,025540,전기전자,1398.78,2.72,2.62,2.89,2.57,2.62,2.21,1.18,1.22,1.11
미창석유공업,003650,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
한국석유공업,004090,비금속광물,155.07,2.88,3.04,3.01,2.46,2.67,2.28,1.26,1.31,1.12
한솔피엔에스,010420,유통업,724.55,2.81,2.76,3.09,2.6,2.63,2.24,1.12,1.18,1.01
화승인더스트리,006060,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
케이씨씨글라스,344820,비금속광물,155.07,2.88,3.04,3.01,2.46,2.67,2.28,1.26,1.31,1.12
삼화페인트공업,000390,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
현대자동차,005380,운수장비,636.5,2.73,2.81,2.82,2.48,2.7,2.11,1.27,1.29,1.17
케이티앤지,033780,기타제조업,230.25,2.27,2.21,2.54,2.11,2.28,1.9,0.8,0.85,0.76
쌍용씨앤이,003410,비금속광물,155.07,2.88,3.04,3.01,2.46,2.67,2.28,1.26,1.31,1.12
엘에스일렉트릭,010120,전기전자,1398.78,2.72,2.62,2.89,2.57,2.62,2.21,1.18,1.22,1.11
삼화콘덴서공업,001820,전기전자,1398.78,2.72,2.62,2.89,2.57,2.62,2.21,1.18,1.22,1.11
케이씨티시,009070,운수창고업,614.67,2.94,2.94,2.97,2.62,2.87,2.35,1.44,1.45,1.35
케이티스카이라이프,053210,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
서울도시가스,017390,전기가스업,310.88,3.6,3.48,3.97,3.08,2.99,2.67,2.64,2.58,2.48
신세계I&C,035510,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
삼화전자공업,011230,전기전자,1398.78,2.72,2.62,2.89,2.57,2.62,2.21,1.18,1.22,1.11
티비에이치글로벌,084870,섬유의복,459.16,2.51,2.39,2.88,2.35,2.44,2.06,0.94,0.98,0.84
"효성 ITX",094280,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
케이티,030200,통신업,1553.5,3.14,3.26,3.59,2.99,2.66,2.5,1.38,1.39,1.2
"F&F 홀딩스",007700,기타금융,676.32,2.75,2.69,2.92,2.54,2.59,2.25,1.29,1.3,1.14
엔피씨,004250,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
에스제이엠홀딩스,025530,유통업,724.55,2.81,2.76,3.09,2.6,2.63,2.24,1.12,1.18,1.01
현대엘리베이터,017800,기계,397.84,2.75,2.67,2.97,2.64,2.64,2.12,1.12,1.13,1.01
아이에이치큐,003560,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
케이씨씨,002380,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
진양폴리우레탄,010640,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
아모레퍼시픽그룹,002790,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
엘브이엠씨,900140,유통업,724.55,2.81,2.76,3.09,2.6,2.63,2.24,1.12,1.18,1.01
금호석유화학,011780,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
삼영전자공업,005680,전기전자,1398.78,2.72,2.62,2.89,2.57,2.62,2.21,1.18,1.22,1.11
에스케이바이오팜,326030,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
에스제이엠,123700,운수장비,636.5,2.73,2.81,2.82,2.48,2.7,2.11,1.27,1.29,1.17
한신기계공업,011700,기계,397.84,2.75,2.67,2.97,2.64,2.64,2.12,1.12,1.13,1.01
엔에이치엔,181710,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
디아이동일,001530,유통업,724.55,2.81,2.76,3.09,2.6,2.63,2.24,1.12,1.18,1.01
계룡건설산업,013580,건설업,572.96,2.91,2.78,2.9,2.7,2.88,2.27,1.67,1.69,1.58
롯데칠성음료,005300,음식료품,752.96,2.84,2.77,2.92,2.5,2.66,2.2,1.21,1.24,1.08
한국전력공사,015760,전기가스업,310.88,3.6,3.48,3.97,3.08,2.99,2.67,2.64,2.58,2.48
태양금속공업,004100,운수장비,636.5,2.73,2.81,2.82,2.48,2.7,2.11,1.27,1.29,1.17
